Cluster,RNA Sequence
Cluster 10688,rna-XM_424500.8.6
Cluster 10689,rna-XM_015283546.4.133
Cluster 10690,rna-XM_015292795.4.42
Cluster 10691,rna-XM_015285470.4.7
Cluster 10692,rna-NM_001195276.2.47
Cluster 10693,rna-XM_004943541.4.12
Cluster 10694,rna-NM_001167731.2.4
Cluster 10695,rna-NM_001006262.2.2
Cluster 10696,rna-XM_040656859.2.4
Cluster 10697,rna-XM_421619.7.9
Cluster 10698,rna-XM_004938746.4.2
Cluster 10699,rna-XM_015297945.4.77
Cluster 10700,rna-NM_204209.2.42
Cluster 10701,rna-XM_046941551.1.5
Cluster 10702,rna-XM_424533.8.58
Cluster 10703,rna-XM_015297173.4.156
Cluster 10704,rna-NM_001012798.3.17
Cluster 10705,rna-XM_030259952.3.170
Cluster 10706,rna-XM_002200250.6.6
Cluster 10707,rna-XM_030291831.3.56
Cluster 10708,rna-XM_030284216.3.21
Cluster 10709,rna-XM_030256071.3.13080
Cluster 10710,rna-XM_041710990.1.37
Cluster 10711,rna-XM_422364.8.10
Cluster 10712,rna-NM_001278097.1.4
Cluster 10713,rna-XM_004946295.5.28
Cluster 10714,rna-XM_003642373.5.186
Cluster 10715,rna-XM_015295763.4.11
Cluster 10716,rna-XM_046933544.1.62
Cluster 10717,rna-XM_015275976.4.1
Cluster 10718,rna-XM_015296468.4.38
Cluster 10719,rna-XM_046933366.1.13466
Cluster 10720,rna-NM_001012582.2.7
Cluster 10721,rna-XM_416682.8.11
Cluster 10722,rna-XM_004939704.5.1
Cluster 10723,rna-XM_004940185.5.3
Cluster 10724,rna-XM_040646012.2.21
Cluster 10725,rna-XM_030285130.3.16
Cluster 10726,rna-XM_030269459.3.2
Cluster 10727,rna-XM_041719539.1.1456
Cluster 10728,rna-XM_040694539.2.1
Cluster 10729,rna-NM_001030618.3.19
Cluster 10730,rna-XM_046943076.1.9
Cluster 10731,rna-NM_001008453.2.88
Cluster 10732,rna-NM_001135786.2.1
Cluster 10733,rna-NM_001277873.2.8
Cluster 10734,rna-XM_025154356.3.16
Cluster 10735,rna-XM_015295261.4.28
Cluster 10736,rna-XM_415649.8.28
Cluster 10737,rna-XM_015291786.4.12
Cluster 10738,rna-XM_025149181.3.3
Cluster 10739,rna-XM_421377.8.5
Cluster 10740,rna-XM_025147673.3.1
Cluster 10741,rna-XM_040703283.2.36
Cluster 10742,rna-XM_015273014.4.202
Cluster 10743,rna-NM_001397480.1.3
Cluster 10744,rna-XM_046926560.1.1
Cluster 10745,rna-XM_004945061.5.37
Cluster 10746,rna-NM_204773.2.43
Cluster 10747,rna-XM_015297932.4.11
Cluster 10748,rna-NM_204962.2.19
Cluster 10749,rna-XM_041720229.1.4
Cluster 10750,rna-XM_041714252.1.1
Cluster 10751,rna-NM_001030919.2.88
Cluster 10752,rna-XM_004945862.5.17
Cluster 10753,rna-NM_001012888.2.168
Cluster 10754,rna-XM_419670.7.23
Cluster 10755,rna-NM_001397876.1.26
Cluster 10756,rna-NM_205406.3.169
Cluster 10757,rna-XM_046931132.1.1
Cluster 10758,rna-XM_015279196.4.2
Cluster 10759,rna-XM_040700759.2.5
Cluster 10760,rna-XM_419861.8.3
Cluster 10761,rna-NM_001252154.1.65
Cluster 10762,rna-NM_001397245.1.11
Cluster 10763,rna-XM_046898964.1.24978
Cluster 10764,rna-XM_003640512.6.2
Cluster 10765,rna-XM_015293575.4.67
Cluster 10766,rna-NM_001267719.2.1
Cluster 10767,rna-XM_040651759.2.51
Cluster 10768,rna-XM_030270757.3.3
Cluster 10769,rna-XM_002193889.6.3
Cluster 10770,rna-XM_041719900.1.55
Cluster 10771,rna-XM_030275969.3.8
Cluster 10772,rna-NM_001245333.1.601
Cluster 10773,rna-XM_041719860.1.29
Cluster 10774,rna-NM_001012291.2.3
Cluster 10775,rna-NM_204159.2.1
Cluster 10776,rna-NM_001006258.2.36
Cluster 10777,rna-XM_004947451.5.49
Cluster 10778,rna-XM_015294495.4.15
Cluster 10779,rna-NM_001080875.3.187
Cluster 10780,rna-NM_001012883.2.130
Cluster 10781,rna-NM_205340.2.16
Cluster 10782,rna-XM_001232699.6.98
Cluster 10783,rna-XM_030257118.3.37
Cluster 10784,rna-NM_001245427.2.249
Cluster 10785,rna-XM_041712456.1.4833
Cluster 10786,rna-XM_421999.8.8
Cluster 10787,rna-NM_205025.1.1
Cluster 10788,rna-XM_015298176.4.52
Cluster 10789,rna-XM_423190.8.12
Cluster 10790,rna-NM_001006318.2.77
Cluster 10791,rna-XM_040650071.2.18
Cluster 10792,rna-XM_422480.8.10
Cluster 10793,rna-XM_046942113.1.5
Cluster 10794,rna-XM_419766.8.3
Cluster 10795,rna-XM_040700460.2.7
Cluster 10796,rna-XM_025142474.3.49
Cluster 10797,rna-XM_015287272.4.5
Cluster 10798,rna-XM_415471.8.17
Cluster 10799,rna-XM_030292137.3.44
Cluster 10800,rna-XM_030282994.3.13
Cluster 10801,rna-XM_041718171.1.12
Cluster 10802,rna-XM_030273559.3.45
Cluster 10803,rna-XM_030275413.3.6
Cluster 10804,rna-XM_030273558.3.45
Cluster 10805,rna-XM_030285418.3.26
Cluster 10806,rna-XM_030262979.3.4
Cluster 10807,rna-NM_001277112.2.14
Cluster 10808,rna-XM_015295897.4.186
Cluster 10809,rna-XM_015293015.3.13
Cluster 10810,rna-NM_001391909.2.9
Cluster 10811,rna-XM_015282944.4.1
Cluster 10812,rna-NM_204327.3.2
Cluster 10813,rna-NM_001277337.2.99
Cluster 10814,rna-NM_001031423.2.64
Cluster 10815,rna-XM_015286010.4.7
Cluster 10816,rna-NM_001079575.2.15
Cluster 10817,rna-NM_001293238.2.31
Cluster 10818,rna-NM_204945.4.58
Cluster 10819,rna-NM_001006156.2.37
Cluster 10820,rna-XM_032747327.2.2
Cluster 10821,rna-XM_030278809.3.9
Cluster 10822,rna-XM_012575549.4.32
Cluster 10823,rna-XM_004174722.4.5
Cluster 10824,rna-XM_015300295.4.122
Cluster 10825,rna-NM_001044635.2.42
Cluster 10826,rna-XM_424887.7.66
Cluster 10827,rna-XM_415126.8.22
Cluster 10828,rna-XM_422723.8.12
Cluster 10829,rna-NM_205130.2.4
Cluster 10830,rna-XM_001234926.6.57
Cluster 10831,rna-NM_204501.2.2
Cluster 10832,rna-NM_001197245.2.5
Cluster 10833,rna-NM_001044695.2.3
Cluster 10834,rna-XM_030276501.3.8
Cluster 10835,rna-XM_030269638.3.23
Cluster 10836,rna-XM_030291360.3.95
Cluster 10837,rna-XM_046905295.1.1222
Cluster 10838,rna-XM_015285033.4.3
Cluster 10839,rna-XM_015299437.4.57
Cluster 10840,rna-XM_015298112.2.69
Cluster 10841,rna-XM_417733.8.118
Cluster 10842,rna-NM_001031014.2.1
Cluster 10843,rna-XM_046917799.1.1
Cluster 10844,rna-XM_419453.8.3
Cluster 10845,rna-XM_004941269.5.116
Cluster 10846,rna-XM_040698303.1.3
Cluster 10847,rna-NM_001277164.2.15
Cluster 10848,rna-NM_205515.3.59
Cluster 10849,rna-NM_001396492.1.10
Cluster 10850,rna-NM_001389706.2.18
Cluster 10851,rna-XM_015276547.4.24
Cluster 10852,rna-XM_040698028.1.36
Cluster 10853,rna-XM_424594.8.15
Cluster 10854,rna-NM_001282377.2.5
Cluster 10855,rna-NM_001004380.2.4
Cluster 10856,rna-XM_041714612.1.14
Cluster 10857,rna-XM_041720870.1.31
Cluster 10858,rna-XM_030257587.3.7
Cluster 10859,rna-XM_030265664.3.14
Cluster 10860,rna-XM_030267659.3.2
Cluster 10861,rna-XM_030268911.3.49
Cluster 10862,rna-XM_040699871.2.2
Cluster 10863,rna-NM_001397356.1.15
Cluster 10864,rna-XM_422306.7.10
Cluster 10865,rna-NM_001031124.2.33
Cluster 10866,rna-XM_015275414.4.22
Cluster 10867,rna-XM_002198732.6.1
Cluster 10868,rna-NM_001245415.2.18
Cluster 10869,rna-XM_041716394.1.6
Cluster 10870,rna-XM_030284573.3.16
Cluster 10871,rna-XM_030282255.3.20
Cluster 10872,rna-NM_001379341.2.105
Cluster 10873,rna-NM_001277702.2.19
Cluster 10874,rna-XM_015300190.3.70
Cluster 10875,rna-XM_416652.8.11
Cluster 10876,rna-NM_001277350.2.9
Cluster 10877,rna-NM_001031118.2.61
Cluster 10878,rna-XM_426029.8.107
Cluster 10879,rna-XM_040705001.2.32
Cluster 10880,rna-XM_420224.7.61
Cluster 10881,rna-XM_015277263.3.6
Cluster 10882,rna-NM_001030713.2.18
Cluster 10883,rna-XM_420169.8.83
Cluster 10884,rna-XM_015281386.4.1
Cluster 10885,rna-XM_025149182.3.3
Cluster 10886,rna-XM_015291200.4.4
Cluster 10887,rna-XM_030277175.3.11
Cluster 10888,rna-XM_012577946.4.26
Cluster 10889,rna-XM_030260359.3.1005
Cluster 10890,rna-XM_425632.7.2
Cluster 10891,rna-XM_015282349.4.1
Cluster 10892,rna-NM_204804.2.57
Cluster 10893,rna-XM_419221.8.1
Cluster 10894,rna-NM_001030969.2.1
Cluster 10895,rna-XM_414475.8.19
Cluster 10896,rna-NM_204686.3.58
Cluster 10897,rna-XM_040650609.2.18
Cluster 10898,rna-XM_040646923.2.19
Cluster 10899,rna-NM_001167765.2.3
Cluster 10900,rna-XM_015276122.4.24
Cluster 10901,rna-NM_001012690.2.14
Cluster 10902,rna-XM_041719100.1.16
Cluster 10903,rna-XM_041719925.1.55
Cluster 10904,rna-XM_041715022.1.2
Cluster 10905,rna-XM_030273233.3.6
Cluster 10906,rna-NM_001030637.2.15
Cluster 10907,rna-XM_040674660.2.1
Cluster 10908,rna-XM_025152605.3.8
Cluster 10909,rna-NM_001044685.2.5
Cluster 10910,rna-XM_040654757.2.129
Cluster 10911,rna-XM_046901060.1.22
Cluster 10912,rna-NM_001277793.2.2
Cluster 10913,rna-NM_204896.2.69
Cluster 10914,rna-XM_001233338.7.1
Cluster 10915,rna-XM_419498.8.39
Cluster 10916,rna-NM_001398147.1.76
Cluster 10917,rna-NM_001012543.2.2
Cluster 10918,rna-XM_032745436.2.422
Cluster 10919,rna-XM_002194190.5.1
Cluster 10920,rna-XM_041720234.1.4
Cluster 10921,rna-XM_015289388.4.8
Cluster 10922,rna-XM_413932.8.14
Cluster 10923,rna-NM_205252.2.9
Cluster 10924,rna-NM_001396674.1.2
Cluster 10925,rna-XM_004937180.5.6
Cluster 10926,rna-XM_015284392.4.20
Cluster 10927,rna-XM_040652416.1.240806
Cluster 10928,rna-NM_001031442.1.74
Cluster 10929,rna-XM_015277881.4.2
Cluster 10930,rna-NM_001012906.2.9
Cluster 10931,rna-XM_001235152.7.59
Cluster 10932,rna-XM_040701048.2.5
Cluster 10933,rna-NM_001195477.2.57
Cluster 10934,rna-NM_001031604.3.72
Cluster 10935,rna-XM_015286612.4.5
Cluster 10936,rna-XM_002194260.5.45
Cluster 10937,rna-XM_015281706.4.4
Cluster 10938,rna-NM_204665.3.38
Cluster 10939,rna-NM_204620.2.8
Cluster 10940,rna-XM_015296604.4.34
Cluster 10941,rna-XM_015296799.4.27
Cluster 10942,rna-XM_420293.8.33
Cluster 10943,rna-XM_015284985.4.40
Cluster 10944,rna-XM_041716130.1.17
Cluster 10945,rna-XM_041713506.1.4
Cluster 10946,rna-XM_004938513.5.11
Cluster 10947,rna-XM_025150719.3.5
Cluster 10948,rna-XM_001231906.6.28
Cluster 10949,rna-NM_205533.3.7
Cluster 10950,rna-XM_015277347.4.6
Cluster 10951,rna-NM_204371.3.61
Cluster 10952,rna-XM_015279959.4.28
Cluster 10953,rna-NM_001008469.2.5
Cluster 10954,rna-XM_030271735.3.3
Cluster 10955,rna-XM_030263999.3.1
Cluster 10956,rna-XM_041720083.1.27
Cluster 10957,rna-XM_030283466.3.13
Cluster 10958,rna-XM_025148304.3.1
Cluster 10959,rna-XM_418310.8.1
Cluster 10960,rna-NM_001389741.2.15
Cluster 10961,rna-NM_001031170.2.7
Cluster 10962,rna-NM_001012579.2.44
Cluster 10963,rna-NM_001199294.2.4
Cluster 10964,rna-XM_004937565.5.4
Cluster 10965,rna-XM_046909598.1.4
Cluster 10966,rna-NM_001044636.2.15
Cluster 10967,rna-XM_001234391.7.38
Cluster 10968,rna-XM_041715600.1.3
Cluster 10969,rna-XM_012575677.4.12
Cluster 10970,rna-XM_041718786.1.5
Cluster 10971,rna-XM_041712060.1.178
Cluster 10972,rna-XM_030256289.3.67
Cluster 10973,rna-XM_030285833.3.26
Cluster 10974,rna-XM_041719544.1.313
Cluster 10975,rna-XM_025155125.3.4
Cluster 10976,rna-XM_004942581.5.8
Cluster 10977,rna-XM_419125.8.1
Cluster 10978,rna-NM_001031608.2.6
Cluster 10979,rna-XM_001234375.6.1
Cluster 10980,rna-NM_001277719.2.21
Cluster 10981,rna-NM_205277.2.61
Cluster 10982,rna-XM_015281133.4.62
Cluster 10983,rna-NM_001039598.2.1
Cluster 10984,rna-XM_040701004.2.36
Cluster 10985,rna-XM_046901636.1.17
Cluster 10986,rna-NM_001006154.3.19
Cluster 10987,rna-XM_040697308.2.3
Cluster 10988,rna-XM_046943542.1.2
Cluster 10989,rna-NM_001277580.2.10
Cluster 10990,rna-XM_425065.8.31
Cluster 10991,rna-XM_030281814.3.48
Cluster 10992,rna-XM_002190145.5.7
Cluster 10993,rna-XM_030266720.3.1
Cluster 10994,rna-XM_041720484.1.15
Cluster 10995,rna-XM_032746808.2.1
Cluster 10996,rna-NM_001173522.2.38
Cluster 10997,rna-XM_015279634.4.17
Cluster 10998,rna-XM_040704260.2.8
Cluster 10999,rna-NM_001006267.2.2
Cluster 11000,rna-XM_003640577.6.2
Cluster 11001,rna-XM_015293549.4.37
Cluster 11002,rna-NM_001001294.2.107
Cluster 11003,rna-XM_417068.7.2
Cluster 11004,rna-NM_204534.5.12
Cluster 11005,rna-XM_421989.7.8
Cluster 11006,rna-XM_001233981.7.11
Cluster 11007,rna-NM_001045829.2.17
Cluster 11008,rna-XM_025142950.3.58
Cluster 11009,rna-XM_041711152.1.79
Cluster 11010,rna-XM_041712365.1.229
Cluster 11011,rna-XM_030286329.3.24
Cluster 11012,rna-XM_426450.6.5
Cluster 11013,rna-NM_001012558.2.1
Cluster 11014,rna-NM_205465.3.58
Cluster 11015,rna-NM_001030775.2.67
Cluster 11016,rna-NM_001396064.1.9
Cluster 11017,rna-XM_424820.7.6
Cluster 11018,rna-XM_015296102.4.36
Cluster 11019,rna-NM_001293302.1.21
Cluster 11020,rna-NM_204733.2.30
Cluster 11021,rna-XM_015282155.4.1
Cluster 11022,rna-XM_416271.8.4
Cluster 11023,rna-XM_046938873.1.3
Cluster 11024,rna-XM_046940455.1.7
Cluster 11025,rna-NM_001205100.2.27
Cluster 11026,rna-XM_025153447.3.12
Cluster 11027,rna-NM_001319025.3.3
Cluster 11028,rna-XM_030260520.3.101
Cluster 11029,rna-XM_041714969.1.5
Cluster 11030,rna-XM_041718236.1.5
Cluster 11031,rna-XM_041721013.1.95
Cluster 11032,rna-NM_001397561.1.1007
Cluster 11033,rna-NM_001277547.2.10
Cluster 11034,rna-XM_040702873.2.9
Cluster 11035,rna-XM_015284428.4.23
Cluster 11036,rna-NM_001030892.2.1636
Cluster 11037,rna-NM_001004403.2.7
Cluster 11038,rna-XM_040706966.2.14
Cluster 11039,rna-XM_416593.8.34
Cluster 11040,rna-XM_046903577.1.51
Cluster 11041,rna-XM_003640439.6.93
Cluster 11042,rna-XM_041717523.1.11
Cluster 11043,rna-XM_041715016.1.2
Cluster 11044,rna-XM_030256181.3.15
Cluster 11045,rna-XM_030259535.3.75
Cluster 11046,rna-XM_004947450.5.49
Cluster 11047,rna-NM_001005843.2.21
Cluster 11048,rna-XM_419087.8.1
Cluster 11049,rna-XM_015275334.4.22
Cluster 11050,rna-XM_046901054.1.4
Cluster 11051,rna-XM_414945.8.15
Cluster 11052,rna-XM_040705805.2.12
Cluster 11053,rna-NM_001277800.2.2
Cluster 11054,rna-NM_204823.1.6
Cluster 11055,rna-XM_015297003.4.49
Cluster 11056,rna-XM_046944431.1.10
Cluster 11057,rna-NM_213558.2.299
Cluster 11058,rna-XM_015297097.4.49
Cluster 11059,rna-XM_046899722.1.21
Cluster 11060,rna-NM_204383.2.5
Cluster 11061,rna-XM_041713179.1.5
Cluster 11062,rna-XM_041720518.1.47
Cluster 11063,rna-XM_030285414.3.10
Cluster 11064,rna-XM_030264834.3.1
Cluster 11065,rna-XM_030276232.3.8
Cluster 11066,rna-XM_030262977.3.4
Cluster 11067,rna-XM_030284325.3.21
Cluster 11068,rna-XM_001232001.7.51
Cluster 11069,rna-NM_001177735.1.57
Cluster 11070,rna-NM_204593.2.2
Cluster 11071,rna-NM_204500.2.52
Cluster 11072,rna-XM_015277131.4.75
Cluster 11073,rna-NM_001398146.1.80
Cluster 11074,rna-NM_204266.2.122
Cluster 11075,rna-XM_025152598.3.8
Cluster 11076,rna-NM_204789.2.5
Cluster 11077,rna-NM_001039266.2.22
Cluster 11078,rna-NM_001007833.3.15
Cluster 11079,rna-NM_001031393.2.131
Cluster 11080,rna-XM_001236781.7.413
Cluster 11081,rna-XM_001235115.7.17
Cluster 11082,rna-XM_015283531.4.25
Cluster 11083,rna-XM_030264263.3.1
Cluster 11084,rna-XM_030272845.3.36
Cluster 11085,rna-XM_030275977.3.8
Cluster 11086,rna-XM_002187926.5.2
Cluster 11087,rna-XM_015281893.4.1
Cluster 11088,rna-XM_418311.8.1
Cluster 11089,rna-NM_001007953.2.10
Cluster 11090,rna-XM_415460.8.17
Cluster 11091,rna-NM_001039453.2.62
Cluster 11092,rna-XM_040701133.2.5
Cluster 11093,rna-XM_015285314.4.43
Cluster 11094,rna-XM_015284382.4.20
Cluster 11095,rna-XM_416369.7.47
Cluster 11096,rna-XM_421667.8.9
Cluster 11097,rna-NM_001031582.2.38
Cluster 11098,rna-XM_418406.8.1
Cluster 11099,rna-XM_015296033.4.18
Cluster 11100,rna-XM_426544.8.9
Cluster 11101,rna-XM_002195780.6.37
Cluster 11102,rna-XM_030288315.3.27
Cluster 11103,rna-XM_041712760.1.172
Cluster 11104,rna-XM_046938455.1.23
Cluster 11105,rna-NM_001032390.3.89
Cluster 11106,rna-XM_004942345.5.9
Cluster 11107,rna-NM_001389648.2.5738
Cluster 11108,rna-NM_001079500.2.19
Cluster 11109,rna-XM_425700.7.27
Cluster 11110,rna-XM_001233845.5.18
Cluster 11111,rna-NM_001012837.2.78
Cluster 11112,rna-XM_425472.8.4
Cluster 11113,rna-NM_001389681.2.10201
Cluster 11114,rna-XM_040702332.2.9
Cluster 11115,rna-NM_001318419.2.1
Cluster 11116,rna-NM_205316.2.21
Cluster 11117,rna-XM_015280582.4.72
Cluster 11118,rna-XM_414330.8.42
Cluster 11119,rna-XM_030262880.3.4
Cluster 11120,rna-XM_030286074.3.26
Cluster 11121,rna-XM_041715294.1.2
Cluster 11122,rna-XM_030289231.3.54
Cluster 11123,rna-XM_041713057.1.221
Cluster 11124,rna-NM_204355.2.17
Cluster 11125,rna-NM_001103202.4.129
Cluster 11126,rna-XM_428854.8.129
Cluster 11127,rna-XM_003641479.6.9
Cluster 11128,rna-XM_422069.8.8
Cluster 11129,rna-XM_426957.6.100
Cluster 11130,rna-NM_001318410.2.9
Cluster 11131,rna-XM_046944847.1.10
Cluster 11132,rna-NM_001012911.2.9
Cluster 11133,rna-XM_420494.8.56
Cluster 11134,rna-NM_001277917.2.78
Cluster 11135,rna-XM_030277346.3.11
Cluster 11136,rna-NM_001277568.2.10
Cluster 11137,rna-NM_001389566.1.31
Cluster 11138,rna-XM_040648074.2.22
Cluster 11139,rna-NM_001277282.2.100
Cluster 11140,rna-XM_015292425.4.21
Cluster 11141,rna-NM_001396342.1.1
Cluster 11142,rna-XM_015285644.4.7
Cluster 11143,rna-XM_419196.8.1
Cluster 11144,rna-NM_001080890.2.1
Cluster 11145,rna-XM_015280353.4.2
Cluster 11146,rna-XM_002196547.5.4
Cluster 11147,rna-XM_030265409.3.14
Cluster 11148,rna-XM_030261679.3.4
Cluster 11149,rna-XM_030263518.3.30
Cluster 11150,rna-XM_030289103.3.54
Cluster 11151,rna-XM_030290330.3.42
Cluster 11152,rna-XM_041711945.1.186
Cluster 11153,rna-XM_012577795.4.7
Cluster 11154,rna-XM_030276268.3.8
Cluster 11155,rna-NM_001277812.2.2
Cluster 11156,rna-XM_004949167.5.64
Cluster 11157,rna-XM_046939863.1.7
Cluster 11158,rna-XM_419213.7.1
Cluster 11159,rna-XM_417279.8.2
Cluster 11160,rna-XM_001233999.5.2
Cluster 11161,rna-XM_040695685.2.1
Cluster 11162,rna-XM_030285187.3.16
Cluster 11163,rna-XM_041720839.1.42
Cluster 11164,rna-XM_030289898.3.47
Cluster 11165,rna-XM_015284063.4.20
Cluster 11166,rna-NM_001277490.2.132
Cluster 11167,rna-XM_040700896.2.5
Cluster 11168,rna-XM_025155523.3.22
Cluster 11169,rna-XM_046902294.1.18
Cluster 11170,rna-XM_416293.8.4
Cluster 11171,rna-NM_001277418.4.12
Cluster 11172,rna-NM_001004379.2.17
Cluster 11173,rna-XM_046916898.1.1
Cluster 11174,rna-XM_416368.7.47
Cluster 11175,rna-NM_001278726.2.15
Cluster 11176,rna-NM_001277784.2.44
Cluster 11177,rna-NM_001277556.4.10
Cluster 11178,rna-NM_205249.2.8
Cluster 11179,rna-XM_421030.8.5
Cluster 11180,rna-XM_032748636.2.6
Cluster 11181,rna-XM_012569020.4.4
Cluster 11182,rna-XM_012571388.4.1
Cluster 11183,rna-XM_041711228.1.7
Cluster 11184,rna-XM_002198013.6.5
Cluster 11185,rna-XM_030256266.3.67
Cluster 11186,rna-XM_003642860.6.84
Cluster 11187,rna-XM_003642249.6.3009
Cluster 11188,rna-NM_001031197.3.5
Cluster 11189,rna-XM_004943002.5.8
Cluster 11190,rna-NM_001030743.3.4
Cluster 11191,rna-XM_046928328.1.1
Cluster 11192,rna-NM_001099353.2.2202
Cluster 11193,rna-XM_040701581.2.109
Cluster 11194,rna-XM_046904354.1.57
Cluster 11195,rna-XM_428797.8.243
Cluster 11196,rna-XM_025144062.3.57
Cluster 11197,rna-XM_001231780.7.129
Cluster 11198,rna-NM_001398089.1.60
Cluster 11199,rna-NM_001031438.2.6
Cluster 11200,rna-XM_046900706.1.2
Cluster 11201,rna-XM_004938702.5.2
Cluster 11202,rna-NM_001277410.2.1
Cluster 11203,rna-XM_040648048.1.22
Cluster 11204,rna-NM_205386.2.7
Cluster 11205,rna-XM_414152.8.16
Cluster 11206,rna-XM_040684249.2.1
Cluster 11207,rna-XM_025150340.2.46
Cluster 11208,rna-NM_001277625.2.21
Cluster 11209,rna-XM_015274099.4.196
Cluster 11210,rna-NM_204353.1.57
Cluster 11211,rna-NM_205525.5.77
Cluster 11212,rna-XM_003641096.6.61
Cluster 11213,rna-NM_001199525.2.376
Cluster 11214,rna-NM_001082417.3.92
Cluster 11215,rna-NM_001006525.2.8
Cluster 11216,rna-NM_204457.2.6
Cluster 11217,rna-XM_004948548.5.57
Cluster 11218,rna-NM_001012933.5.7
Cluster 11219,rna-XM_015286158.4.5
Cluster 11220,rna-XM_040657928.2.2
Cluster 11221,rna-XM_001235050.7.8
Cluster 11222,rna-XM_419413.7.3
Cluster 11223,rna-XM_030260808.3.98
Cluster 11224,rna-XM_041711835.1.137
Cluster 11225,rna-XM_030265554.3.14
Cluster 11226,rna-XM_041711748.1.176
Cluster 11227,rna-XM_015291071.4.10
Cluster 11228,rna-XM_015296403.4.38
Cluster 11229,rna-XM_040647998.2.22
Cluster 11230,rna-NM_001277827.1.24
Cluster 11231,rna-XM_046902434.1.18
Cluster 11232,rna-XM_040695911.2.1
Cluster 11233,rna-XM_001233856.7.17
Cluster 11234,rna-XM_015286148.4.5
Cluster 11235,rna-NM_001030934.2.86
Cluster 11236,rna-XM_415018.8.3
Cluster 11237,rna-NM_204614.2.33
Cluster 11238,rna-XM_415490.8.17
Cluster 11239,rna-XM_418208.8.86
Cluster 11240,rna-NM_001396937.1.2
Cluster 11241,rna-NM_205108.2.130
Cluster 11242,rna-XM_415257.8.22
Cluster 11243,rna-XM_030290640.3.42
Cluster 11244,rna-XM_030290171.3.47
Cluster 11245,rna-XM_002193652.5.3
Cluster 11246,rna-XM_030284353.3.16
Cluster 11247,rna-XM_030275536.3.10
Cluster 11248,rna-XM_030259575.3.75
Cluster 11249,rna-XM_030269856.3.2
Cluster 11250,rna-XM_041718196.1.12
Cluster 11251,rna-NM_204170.3.58
Cluster 11252,rna-XM_003640326.5.4
Cluster 11253,rna-XM_025152828.3.10
Cluster 11254,rna-XM_015280238.4.6
Cluster 11255,rna-NM_205085.3.2
Cluster 11256,rna-NM_001397206.1.2
Cluster 11257,rna-NM_001277411.2.1
Cluster 11258,rna-NM_001030906.2.51
Cluster 11259,rna-XM_415077.8.50
Cluster 11260,rna-NM_001199516.3.9
Cluster 11261,rna-NM_205513.2.1
Cluster 11262,rna-XM_041711353.1.7
Cluster 11263,rna-XM_041720846.1.42
Cluster 11264,rna-XM_030267257.3.2
Cluster 11265,rna-XM_030289279.3.46
Cluster 11266,rna-XM_041719447.1.60
Cluster 11267,rna-NM_001031059.3.39
Cluster 11268,rna-NM_001198612.2.161
Cluster 11269,rna-XM_001232253.6.32
Cluster 11270,rna-XM_025144387.3.163
Cluster 11271,rna-XM_015295940.4.18
Cluster 11272,rna-XM_004937213.5.6
Cluster 11273,rna-XM_420559.8.7
Cluster 11274,rna-XM_046919010.1.1
Cluster 11275,rna-NM_001396379.1.5
Cluster 11276,rna-XM_416438.8.4
Cluster 11277,rna-XM_415743.8.18
Cluster 11278,rna-XM_015284391.4.20
Cluster 11279,rna-NM_204559.2.19
Cluster 11280,rna-XM_015273146.4.82
Cluster 11281,rna-NM_001160071.4.32
Cluster 11282,rna-XM_015290062.4.8
Cluster 11283,rna-XM_015280221.4.2
Cluster 11284,rna-NM_001195401.3.1
Cluster 11285,rna-XM_015296120.4.18
Cluster 11286,rna-XM_004942134.5.9
Cluster 11287,rna-XM_041714945.1.118
Cluster 11288,rna-XM_030285505.3.26
Cluster 11289,rna-XM_030286403.3.24
Cluster 11290,rna-XM_030290508.3.42
Cluster 11291,rna-XM_030284142.3.21
Cluster 11292,rna-XM_041720639.1.47
Cluster 11293,rna-XM_417126.8.2
Cluster 11294,rna-XM_040697049.2.47
Cluster 11295,rna-XM_428808.8.58
Cluster 11296,rna-NM_205317.2.1
Cluster 11297,rna-XM_015284410.4.26
Cluster 11298,rna-XM_004938933.5.2
Cluster 11299,rna-XM_417760.8.51
Cluster 11300,rna-NM_204676.3.19
Cluster 11301,rna-XM_046938407.1.3
Cluster 11302,rna-XM_015294454.4.15
Cluster 11303,rna-XM_416676.7.11664
Cluster 11304,rna-XM_046938364.1.3
Cluster 11305,rna-NM_001177329.3.57
Cluster 11306,rna-NM_001006579.2.6
Cluster 11307,rna-XM_004935913.5.40
Cluster 11308,rna-XM_046902429.1.18
Cluster 11309,rna-XM_032747827.2.2
Cluster 11310,rna-XM_030274839.3.10
Cluster 11311,rna-NM_001282081.1.372
Cluster 11312,rna-XM_046905534.1.6
Cluster 11313,rna-XM_040697179.2.26
Cluster 11314,rna-XM_015294252.4.15
Cluster 11315,rna-XM_015275576.4.22
Cluster 11316,rna-XM_025144884.3.29
Cluster 11317,rna-XM_430147.7.32
Cluster 11318,rna-XM_001233676.6.49
Cluster 11319,rna-XM_001235896.7.1
Cluster 11320,rna-XM_015279336.3.17
Cluster 11321,rna-NM_001031318.1.12
Cluster 11322,rna-XM_425240.7.400
Cluster 11323,rna-XM_015277898.4.11
Cluster 11324,rna-NM_205311.3.8
Cluster 11325,rna-XM_015276695.4.7
Cluster 11326,rna-XM_040696276.1.1
Cluster 11327,rna-NM_001305673.2.17
